Title@"Durata Curs"@investitie@Permalink
"Auditor ISO 27001:2022, ISO 27007:2022 și ISO 19011:2026 - TISAX"@"3 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/auditor-iso-27001-iso-27007-si-iso-19011-tisax/
"Responsabil Strategii și Implementare economie circulară"@"2 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/responsabil-strategii-si-implementare-economie-circulara/
"Responsabil Raportare ESG"@"2 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/responsabil-raportare-esg/
"Hoshin Kanri Planificarea Strategică la nivel de Organizație"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/hoshin-kanri-planificarea-strategica-la-nivel-de-organizatie/
"Cerințele Directivei Europene pentru Echipamentele sub Presiune PED 2014/68/EU"@"1 zi"@"298 euro"@https://tuvkarpat.ro/cursuri/cerintele-directivei-europene-pentru-echipamentele-sub-presiune-ped-2014-68-eu/
"Reglementări REACH-CLP-Deșeuri"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/reach-clp-deseuri-reglementari/
"Auditor - Sistem de Management al Inteligenței Artificiale ISO/IEC 42001:2023"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/auditor-sistem-de-management-al-inteligentei-artificiale-iso-iec-42001/
"Emisii GES - Cuantificare"@"2 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/emisii-ges-cuantificare/
"Siguranța echipamentelor electrice conform Directivei 2014/35/UE (LVD)"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/siguranta-echipamentelor-electrice-conform-directivei-2014-35-ue-lvd/
"Regulamentul (UE) 2023/1230 privind mașinile"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/regulamentul-ue-2023-1230-privind-masinile/
"Auditor pentru sistemul de management al calității și siguranței serviciilor logistice conform standardului IFS LOGISTICS"@"3 zile "@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-calitatii-si-sigurantei-serviciilor-logistice-conform-standardului-ifs-logistics/
"Sustainability Compliance Manager"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/sustainability-compliance-manager/
"Directiva 2006/42/CE privind echipamentele (mașinile)"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/directiva-2006-42-ce-privind-echipamentele-masinile/
"Certificare Personal de Conducere SCC 017 / SGU (Certificat de siguranță pentru contractor)"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/certificare-personal-de-conducere-scc-017-sgu-certificat-de-siguranta-pentru-contractor/
"Auditor SR ISO 37301:2021 (Compliance)"@"3 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/auditor-sr-iso-373012021/
"Manager Operațiuni"@"4 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/manager-operatiuni/
"Certificare în metoda de control nedistructiv - examinare cu particule magnetice"@"5 zile"@"360 euro"@https://tuvkarpat.ro/cursuri/certificare-in-metoda-de-control-nedistructiv-examinare-cu-particule-magnetice/
"Certificare în metoda de control nedistructiv - examinare cu lichide penetrante"@"5 zile"@"360 euro"@https://tuvkarpat.ro/cursuri/certificare-in-metoda-de-control-nedistructiv-examinare-cu-lichide-penetrante/
"Certificare în metoda de control nedistructiv - examinare cu ultrasunete"@"18 zile"@"500 euro"@https://tuvkarpat.ro/cursuri/certificare-in-metoda-de-control-nedistructiv-examinare-cu-ultrasunete/
"Certificare în metoda de control nedistructiv - examinare vizuală"@"5 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/certificare-in-metoda-de-control-nedistructiv-examinare-vizuala/
"Sudura - Standarde aplicabile și modalități de reducere a riscului"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/sudura-standarde-aplicabile-si-modalitati-de-reducere-a-riscului/
"Sudura - Analiza și decizie. Cuantificarea costurilor non-calității în valoarea produsului"@"2 zile"@"1000 euro"@https://tuvkarpat.ro/cursuri/sudura-analiza-si-decizie-cuantificarea-costurilor-non-calitatii-in-valoarea-produsului/
"Sudura - Coordonarea și evaluarea operației de sudare. Modalități de evaluare și reducerea riscului"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/sudura-coordonarea-si-evaluarea-operatiei-de-sudare-modalitati-de-evaluare-si-reducerea-riscului/
"Specialist Dermatofarmacie și Cosmetologie creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-dermatofarmacie-si-cosmetologie/
"Specialist în tehnologia produselor cosmetice creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-in-tehnologia-produselor-cosmetice/
"Tranziţia de la ISO 9001:2015 la ISO 9001:2026"@"1 zi"@"170 euro"@https://tuvkarpat.ro/cursuri/tranzitia-de-la-iso-90012015-la-iso-90012026/
"Tranziția de la ISO 14001:2015 la ISO 14001:2026"@"1 zi"@"170 euro"@https://tuvkarpat.ro/cursuri/tranzitia-de-la-iso-140012015-la-iso-140012026/
"Tranziția de la ISO 37001:2016 la ISO 37001:2025"@"1 zi"@"170 euro"@https://tuvkarpat.ro/cursuri/tranzitia-de-la-iso-370012016-la-iso-370012025/
"Auditor Intern ISO 37001:2025"@"3 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-iso-370012025/
"Specialist Fitoterapie creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/specialist-fitoterapie/
"Responsabil - Adaptarea la schimbările climatice în administrația publică (ISO 14092:2026)"@"2 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/responsabil-adaptarea-la-schimbarile-climatice-in-administratia-publica-iso-14092/
"Reverse FMEA"@"2 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/reverse-fmea/
"Managementul Calității Industry 4.0"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/managementul-calitatii-industry-4-0/
"ESG - ghid complet pentru IMM-uri"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/esg-ghid-complet-pentru-imm-uri/
"Lead Implementer ISO/IEC 27001:2022"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/lead-implementer-iso-iec-27001/
"Lead Implementer ISO 50001:2018"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/lead-implementer-iso-50001/
"Lead Implementer ISO 9001:2015"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/lead-implementer-iso-9001/
"Lead Implementer ISO/IEC 42001"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/lead-implementer-iso-iec-42001/
"Lead Implementer ISO 14001:2015"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/lead-implementer-iso-14001/
"Specialist în integritate și raportare organizațională (ISO 37002:2021)"@"2 zile"@"320 euro"@https://tuvkarpat.ro/cursuri/specialist-in-integritate-si-raportare-organizationala-iso-37002/
